Codigos,NOMBRE,TELA,Color,PRECIO EN USD,PRECIO EN $,,,
BASS09,Bandas,Sunscreen 5%,Verde,74.00," $74,203.50",,,
BASS10,Bandas,Sunscreen 5%,Rojo,74.00," $74,203.50",,,
BASS11,Bandas,Sunscreen 5%,Azul,74.00," $74,203.50",,,
BASS12,Bandas,Sunscreen 5%,Bronce,74.00," $74,203.50",,,
BASS18,Bandas,Sunscreen 5%,Ceniza,74.00," $74,203.50",,,
BASS19,Bandas,Sunscreen 5%,Caliza,74.00," $74,203.50",,,
BASS20,Bandas,Sunscreen 5%,Niquel,74.00," $74,203.50",,,
BASS21,Bandas,Sunscreen 5%,Hierro,74.00," $74,203.50",,,
BASS22,Bandas,Sunscreen 5%,Cobre,74.00," $74,203.50",,,
BASS23,Bandas,Sunscreen 5%,Niquel,74.00," $74,203.50",,,
BASS24,Bandas,Sunscreen 5%,Carbon,74.00," $74,203.50",,,
BASS01.1,Bandas,Sunscreen 1%,Blanco blanco,74.00," $74,203.50",,,
BASS02.1,Bandas,Sunscreen 1%,Blanco beige,74.00," $74,203.50",,,
BASS03.1,Bandas,Sunscreen 1%,Blanco gris,74.00," $74,203.50",,,
BASS06.1,Bandas,Sunscreen 1%,Negro Negro,74.00," $74,203.50",,,
BASS00.1,Bandas,Sunscreen 1%,A definir,74.00," $74,203.50",,,
BASS00,Bandas,Sunscreen 5%,A definir,57.00," $57,156.75",,,
BALX01,Bandas,LUX,Blanco,48.45," $48,583.24",,,
BALX02,Bandas,LUX,Ivory,48.45," $48,583.24",,,
BALX03,Bandas,LUX,Beige,48.45," $48,583.24",,,
BALX04,Bandas,LUX,Chocolate,48.45," $48,583.24",,,
BALX05,Bandas,LUX,Esmeralda,48.45," $48,583.24",,,
BALX06,Bandas,LUX,Perla,48.45," $48,583.24",,,
BALX07,Bandas,LUX,Terracota,48.45," $48,583.24",,,
BALX08,Bandas,LUX,Rojo,48.45," $48,583.24",,,
BALX09,Bandas,LUX,Gris Cemento,48.45," $48,583.24",,,
BALX10,Bandas,LUX,Tostado,48.45," $48,583.24",,,
BALX11,Bandas,LUX,Gris Claro,48.45," $48,583.24",,,
BALX00,Bandas,LUX,A definir,48.45," $48,583.24",,,
BASB12,Bandas,Southbeach,SB12,45.00," $45,123.75",,,
BASB15,Bandas,Southbeach,SB15,45.00," $45,123.75",,,
BASB19,Bandas,Southbeach,SB19,45.00," $45,123.75",,,
BASB16,Bandas,Southbeach,SB16,48.45," $48,583.24",,,
BASB17,Bandas,Southbeach,SB17,48.45," $48,583.24",,,
BASB18,Bandas,Southbeach,SB18,48.45," $48,583.24",,,
BASB00,Bandas,Southbeach,A definir,48.45," $48,583.24",,,
BASH01,Bandas,SH,Blanco,48.45," $48,583.24",,,
BASH02,Bandas,SH,Marfil,48.45," $48,583.24",,,
BASH04,Bandas,SH,Vison,48.45," $48,583.24",,,
BASH00,Bandas,SH,A definir,48.45," $48,583.24",,,
BACB01,Bandas,Cordoba,Nieve,48.45," $48,583.24",,,
BACB02,Bandas,Cordoba,Marfil,48.45," $48,583.24",,,
BACB03,Bandas,Cordoba,Centeno,48.45," $48,583.24",,,
BACB04,Bandas,Cordoba,Camel,48.45," $48,583.24",,,
BACB06,Bandas,Cordoba,Tostado,48.45," $48,583.24",,,
BACB07,Bandas,Cordoba,Grafito,48.45," $48,583.24",,,
BACB08,Bandas,Cordoba,Plomo,48.45," $48,583.24",,,
BACB00,Bandas,Cordoba,A definir,48.45," $48,583.24",,,
STBO01,Solo Tela,Blackout,Blanco,25.00," $25,068.75",,,
STBO03,Solo Tela,Blackout,Ivory,25.00," $25,068.75",,,
STBO04,Solo Tela,Blackout,Gris,25.00," $25,068.75",,,
STBO05,Solo Tela,Blackout,Beige,35.00," $35,096.25",,,
STBO02,Solo Tela,Blackout,Negro,35.00," $35,096.25",,,
STBO00,Solo Tela,Blackout,A definir,25.00," $25,068.75",,,
STSS01,Solo Tela,Sunscreen 5%,Blanco blanco,30.00," $30,082.50",,,
STSS02,Solo Tela,Sunscreen 5%,Blanco beige,30.00," $30,082.50",,,
STSS03,Solo Tela,Sunscreen 5%,Blanco gris,30.00," $30,082.50",,,
STSS04,Solo Tela,Sunscreen 5%,Beige Beige,45.00," $45,123.75",,,
STSS05,Solo Tela,Sunscreen 5%,Gris Gris,45.00," $45,123.75",,,
STSS06,Solo Tela,Sunscreen 5%,Negro Negro,45.00," $45,123.75",,,
STSS07,Solo Tela,Sunscreen 5%,Chocolate,45.00," $45,123.75",,,
STSS08,Solo Tela,Sunscreen 5%,Amarillo,45.00," $45,123.75",,,
STSS09,Solo Tela,Sunscreen 5%,Verde,45.00," $45,123.75",,,
STSS10,Solo Tela,Sunscreen 5%,Rojo,45.00," $45,123.75",,,
STSS11,Solo Tela,Sunscreen 5%,Azul,45.00," $45,123.75",,,
STSS12,Solo Tela,Sunscreen 5%,Bronce,45.00," $45,123.75",,,
STSS18,Solo Tela,Sunscreen 5%,Ceniza,45.00," $45,123.75",,,
STSS19,Solo Tela,Sunscreen 5%,Caliza,45.00," $45,123.75",,,
STSS20,Solo Tela,Sunscreen 5%,Niquel,45.00," $45,123.75",,,
STSS21,Solo Tela,Sunscreen 5%,Hierro,45.00," $45,123.75",,,
STSS22,Solo Tela,Sunscreen 5%,Cobre,45.00," $45,123.75",,,
STSS23,Solo Tela,Sunscreen 5%,Niquel,45.00," $45,123.75",,,
STSS24,Solo Tela,Sunscreen 5%,Carbon,45.00," $45,123.75",,,
STSS01.1,Solo Tela,Sunscreen 1%,Blanco blanco,45.00," $45,123.75",,,
STSS02.1,Solo Tela,Sunscreen 1%,Blanco beige,45.00," $45,123.75",,,
STSS03.1,Solo Tela,Sunscreen 1%,Blanco gris,45.00," $45,123.75",,,
STSS00.1,Solo Tela,Sunscreen 1%,A definir,45.00," $45,123.75",,,
STSS00,Solo Tela,Sunscreen 5%,A definir,30.00," $30,082.50",,,
STLX01,Solo Tela,LUX,Blanco,30.00," $30,082.50",,,
STLX02,Solo Tela,LUX,Ivory,30.00," $30,082.50",,,
STLX03,Solo Tela,LUX,Beige,30.00," $30,082.50",,,
STLX04,Solo Tela,LUX,Chocolate,30.00," $30,082.50",,,
